quote,author,sentiment_class
0,1,2
I believe it's important that we use names of endearment that reflect a special feeling for the individual involved.,- Zig Ziglar.,Affection
"“Because of your smile, you make life more beautiful.”",– Thich Nhat Hanh,Affection
"“It is a curious thought, but it is only when you see people looking ridiculous that you realize just how much you love them.”","— Agatha Christie, An Autobiography",Affection
If I had a flower for every time I thought of you...I could walk through my garden forever.”,"— Alfred Tennyson, “Queen Mary”",Affection
“You are whatever a moon has always meant and whatever a sun will always sing.”,"— E.E. Cummings, “I Carry Your Heart With Me”",Affection
"A true soul mate is probably the most important person you’ll ever meet, because they tear down your walls and smack you awake.”","— Elizabeth Gilbert, “Eat, Pray, Love”",Affection
"I love the ground under his feet, and the air over his head, and everything he touches and every word he says. I love all his looks, and all his actions and him entirely and all together.”","— Emily Brontë, “Wuthering Heights”",Affection
"At last, my love has come along / My lonely days are over / And life is like a song.”","— Etta James, “At Last”",Affection
"When you realize you want to spend the rest of your life with somebody, you want the rest of your life to start as soon as possible.”","— Harry Burns, “When Harry Met Sally”",Affection
"It’s you, it’s you, it’s all for you, everything I do. I tell you all the time, Heaven is a place on Earth with you.”","— Lana Del Rey, “Video Games”",Affection
"“But nothing’s greater than the rush that comes with your embrace / And in this world of loneliness, I see your face.”","— Leona Lewis, “Bleeding Love”",Affection
"“But in a solitary life, there are rare moments when another soul dips near yours, as stars once a year brush the earth. Such a constellation was he to me.”","— Madeline Miller, “Circe”",Affection
“You’ll always be a part of me / I’m part of you indefinitely / Boy don’t you know you can’t escape me / Oh darlin’ ‘cause you’ll always be my baby.”,"— Mariah Carey, “Always Be My Baby”",Affection
"“I have the best husband one could dream of; I could never have imagined finding one like him. He is a true gift of heaven, and the more we live together the more we love each other.”",— Marie Curie,Affection
"“A flower cannot blossom without sunshine, and man cannot live without love.”",— Max Müller,Affection
"In all the world, there is no heart for me like yours. In all the world, there is no love for you like mine.”",— Maya Angelou,Affection
“All I ever wanted / All I want is / Always you / It’s always you.”,"— Mitski, “I Will”",Affection
“Come away with me and we’ll kiss / On a mountaintop / Come away with me / And I’ll never stop loving you.”,"— Norah Jones, “Come Away With Me”",Affection
What is the world at its best but a little round field of the moving pictures with two walking together in it?”,— O. Henry,Affection
I would not wish any companion in the world but you.”,"— William Shakespeare, “The Tempest”",Affection
“Anger is just anger. It isn’t good. It isn’t bad. It just is. What you do with it is what matters. It’s like anything else. You can use it to build or to destroy. You just have to make the choice.”,– Jim Butcher,Angry
“Poetry = Anger x Imagination”,– Sherman Alexie,Angry
"When we fail to set boundaries and hold people accountable, we feel used and mistreated. This is why we sometimes attack who they are, which is far more hurtful than addressing a behavior or a choice.”",- Brené Brown,Angry
All that is necessary for the triumph of evil is that good men do nothing,- mistakenly attributed to Edmund Burke,Angry
